============================================================
STARTING MODEL TESTING...
============================================================

Testing 100 samples with models: KNN, SVM, Random Forest, CNN

Sample 1/100: True text='47PP', Complexity=hard
  KNN            : ZNWW (Confidence: 0.917, Time: 32.9ms) ✓
  SVM            : 2NWW (Confidence: 0.869, Time: 13.5ms) ✗
  Random Forest  : ZNWW (Confidence: 0.703, Time: 35.1ms) ✓
  CNN            : 2NWW (Confidence: 0.914, Time: 202.2ms) ✗

Sample 84/100: True text='RBG2', Complexity=hard
  KNN            : RBG2 (Confidence: 1.000, Time: 33.3ms) ✓
  SVM            : RBG2 (Confidence: 0.968, Time: 12.8ms) ✓
  Random Forest  : RBG2 (Confidence: 0.932, Time: 37.9ms) ✓
  CNN            : RBG2 (Confidence: 0.884, Time: 211.5ms) ✓

Sample 85/100: True text='9M4Z', Complexity=medium
  KNN            : 9M4Z (Confidence: 1.000, Time: 34.0ms) ✓
  SVM            : 9M4Z (Confidence: 0.855, Time: 13.3ms) ✓
  Random Forest  : 9M4Z (Confidence: 0.688, Time: 35.8ms) ✓
  CNN            : 9M4Z (Confidence: 0.949, Time: 200.7ms) ✓

Sample 86/100: True text='8MQB', Complexity=simple
  KNN            : 8MQB (Confidence: 1.000, Time: 33.1ms) ✓
  SVM            : 8MQB (Confidence: 0.953, Time: 13.4ms) ✓
  Random Forest  : 8MQB (Confidence: 1.000, Time: 40.4ms) ✓
  CNN            : 8MQB (Confidence: 1.000, Time: 205.0ms) ✓

Sample 87/100: True text='NHBF', Complexity=medium
  KNN            : NHBF (Confidence: 0.917, Time: 33.1ms) ✓
  SVM            : NHB4 (Confidence: 0.620, Time: 13.0ms) ✗
  Random Forest  : NHBF (Confidence: 0.573, Time: 37.6ms) ✓
  CNN            : NLBE (Confidence: 0.879, Time: 245.8ms) ✗

Sample 88/100: True text='ZQXP', Complexity=hard
  KNN            : ZCXP (Confidence: 0.833, Time: 36.8ms) ✗
  SVM            : ZQXP (Confidence: 0.695, Time: 12.9ms) ✓
  Random Forest  : ZCXP (Confidence: 0.503, Time: 34.4ms) ✗
  CNN            : ZQXP (Confidence: 0.787, Time: 202.3ms) ✓

Sample 89/100: True text='BDHC', Complexity=hard
  KNN            : BDHC (Confidence: 0.833, Time: 33.6ms) ✓
  SVM            : BDHC (Confidence: 0.934, Time: 13.5ms) ✓
  Random Forest  : BDHC (Confidence: 0.752, Time: 38.8ms) ✓
  CNN            : EDHC (Confidence: 0.870, Time: 212.3ms) ✗

Sample 90/100: True text='L5ZX', Complexity=simple
  KNN            : L5ZX (Confidence: 1.000, Time: 33.9ms) ✓
  SVM            : L5ZX (Confidence: 0.986, Time: 13.0ms) ✓
  Random Forest  : L5ZX (Confidence: 1.000, Time: 34.0ms) ✓
  CNN            : L5ZX (Confidence: 1.000, Time: 205.6ms) ✓

Sample 91/100: True text='KE5E', Complexity=medium
  KNN            : KF5E (Confidence: 1.000, Time: 33.4ms) ✗
  SVM            : KE5E (Confidence: 0.983, Time: 12.8ms) ✓
  Random Forest  : KE5E (Confidence: 0.843, Time: 34.0ms) ✓
  CNN            : KE5E (Confidence: 1.000, Time: 207.0ms) ✓

Sample 92/100: True text='EKMP', Complexity=medium
  KNN            : EKMP (Confidence: 0.917, Time: 33.8ms) ✓
  SVM            : BKMP (Confidence: 0.947, Time: 13.0ms) ✗
  Random Forest  : BKMP (Confidence: 0.750, Time: 34.1ms) ✗
  CNN            : BKMP (Confidence: 0.907, Time: 204.7ms) ✗

Sample 93/100: True text='XF8Q', Complexity=hard
  KNN            : XF8Q (Confidence: 0.833, Time: 34.9ms) ✓
  SVM            : XF8Q (Confidence: 0.902, Time: 13.6ms) ✓
  Random Forest  : XF8Q (Confidence: 0.745, Time: 39.8ms) ✓
  CNN            : XF8Q (Confidence: 0.971, Time: 205.5ms) ✓

Sample 94/100: True text='W4KM', Complexity=hard
  KNN            : W4KM (Confidence: 1.000, Time: 33.8ms) ✓
  SVM            : W4KM (Confidence: 0.857, Time: 12.8ms) ✓
  Random Forest  : W4KM (Confidence: 0.790, Time: 34.6ms) ✓
  CNN            : W4KM (Confidence: 0.943, Time: 232.1ms) ✓

Sample 95/100: True text='2YRB', Complexity=simple
  KNN            : 2YRB (Confidence: 1.000, Time: 33.4ms) ✓
  SVM            : 2YRB (Confidence: 0.974, Time: 13.8ms) ✓
  Random Forest  : 2YRB (Confidence: 1.000, Time: 33.6ms) ✓
  CNN            : 2YRB (Confidence: 1.000, Time: 205.0ms) ✓

Sample 96/100: True text='NAL8', Complexity=medium
  KNN            : NAL8 (Confidence: 0.917, Time: 33.9ms) ✓
  SVM            : NAL8 (Confidence: 0.971, Time: 14.4ms) ✓
  Random Forest  : NAL8 (Confidence: 0.738, Time: 37.3ms) ✓
  CNN            : NAL8 (Confidence: 0.932, Time: 238.6ms) ✓

Sample 97/100: True text='GLZA', Complexity=medium
  KNN            : GLZA (Confidence: 0.917, Time: 36.4ms) ✓
  SVM            : GLZA (Confidence: 0.855, Time: 20.2ms) ✓
  Random Forest  : GLZA (Confidence: 0.828, Time: 56.9ms) ✓
  CNN            : QLZA (Confidence: 0.868, Time: 226.0ms) ✗

Sample 98/100: True text='6K9P', Complexity=medium
  KNN            : 6K9P (Confidence: 1.000, Time: 35.7ms) ✓
  SVM            : 6K9P (Confidence: 0.988, Time: 16.8ms) ✓
  Random Forest  : 6K9P (Confidence: 0.875, Time: 59.8ms) ✓
  CNN            : 6K9P (Confidence: 1.000, Time: 251.9ms) ✓

Sample 99/100: True text='BFRF', Complexity=medium
  KNN            : BFRF (Confidence: 1.000, Time: 33.7ms) ✓
  SVM            : BFRF (Confidence: 0.982, Time: 13.2ms) ✓
  Random Forest  : BFRF (Confidence: 0.795, Time: 35.1ms) ✓
  CNN            : BFRF (Confidence: 0.898, Time: 212.6ms) ✓

Sample 100/100: True text='3U2F', Complexity=hard
  KNN            : 3U2F (Confidence: 1.000, Time: 33.4ms) ✓
  SVM            : 3U2F (Confidence: 0.979, Time: 13.1ms) ✓
  Random Forest  : 3U2F (Confidence: 0.833, Time: 42.0ms) ✓
  CNN            : 3U2F (Confidence: 1.000, Time: 204.0ms) ✓

============================================================
TEST RESULTS SUMMARY
============================================================
Model          Accuracy  Correct/Total  Avg Time  
--------------------------------------------------
KNN            0.8200    82/100         34.7ms    
SVM            0.8300    83/100         13.8ms    
Random Forest  0.9100    91/100         40.4ms    
CNN            0.8000    80/100         216.7ms   

============================================================
COMPLEXITY ANALYSIS
============================================================
Complexity  Model          Accuracy  Correct/Total  
----------------------------------------------------
simple      KNN            1.0000    30/30          
simple      SVM            1.0000    30/30          
simple      Random Forest  1.0000    30/30          
simple      CNN            1.0000    30/30          
medium      KNN            0.8571    30/35          
medium      SVM            0.8000    28/35          
medium      Random Forest  0.9429    33/35          
medium      CNN            0.7143    25/35          
hard        KNN            0.6286    22/35          
hard        SVM            0.7143    25/35          
hard        Random Forest  0.8000    28/35          
hard        CNN            0.7143    25/35          

============================================================
DETAILED ERROR ANALYSIS
============================================================

KNN Model:
  Incorrect samples (18):
    Sample 2: True='X8R5', Pred='X8P5', Confidence=0.917
    Sample 8: True='EWYH', Pred='BWYH', Confidence=0.833
    Sample 10: True='WXSG', Pred='W7SG', Confidence=0.750
    Sample 11: True='9ESL', Pred='9BSL', Confidence=0.833
    Sample 22: True='QHFJ', Pred='GHFJ', Confidence=0.833

SVM Model:
  Incorrect samples (17):
    Sample 8: True='EWYH', Pred='BWXH', Confidence=0.734
    Sample 11: True='9ESL', Pred='9FSL', Confidence=0.784
    Sample 16: True='B5BL', Pred='B58L', Confidence=0.859
    Sample 22: True='QHFJ', Pred='GHFJ', Confidence=0.938
    Sample 27: True='E7P8', Pred='B7P8', Confidence=0.967

Random Forest Model:
  Incorrect samples (9):
    Sample 8: True='EWYH', Pred='BWYH', Confidence=0.675
    Sample 22: True='QHFJ', Pred='GHFJ', Confidence=0.713
    Sample 38: True='3V99', Pred='7V99', Confidence=0.680
    Sample 44: True='HMBY', Pred='FMBY', Confidence=0.698
    Sample 61: True='GUB4', Pred='CUB4', Confidence=0.633

CNN Model:
  Incorrect samples (20):
    Sample 1: True='WAUB', Pred='V4UB', Confidence=0.871
    Sample 6: True='PZH3', Pred='RZH3', Confidence=0.875
    Sample 8: True='EWYH', Pred='BWYH', Confidence=0.902
    Sample 9: True='EVEE', Pred='BVEE', Confidence=0.900
    Sample 26: True='HQDM', Pred='HCDM', Confidence=0.882

Results saved to results/test_results_summary.txt
Charts saved to results/model_testing_results.png
